P(Engine_Core_Health=Healthy),P(Engine_Core_Health=Degrading),P(Engine_Core_Health=Critical),cycle,true
0.9281628704209338,0.07183706723208352,6.234698268776239e-08,0,Healthy
0.9926542875198286,0.007345712442740932,3.7430497053818e-11,1,Healthy
0.983310178319585,0.016689821368608918,3.118059638491379e-10,2,Healthy
0.9627396343293259,0.03726035675794071,8.91273334290487e-09,3,Healthy
0.947889172250971,0.05211080354554449,2.4203484475830933e-08,4,Healthy
0.9774261220847242,0.02257387576724136,2.148034354237178e-09,5,Healthy
0.9837188389886827,0.016281160115335567,8.959816156413012e-10,6,Healthy
0.8362290219014458,0.16377025438745044,7.237111037562471e-07,7,Healthy
0.9832944629619406,0.016705536271872462,7.661869709212318e-10,8,Healthy
0.7303604722480156,0.26963624728568425,3.2804663001253498e-06,9,Degrading
0.7601739255397933,0.23982526688179703,8.075784095863749e-07,10,Degrading
0.5286997424263746,0.4712551930403267,4.506453329874369e-05,11,Degrading
0.666924957151451,0.3330497756118529,2.526723669606989e-05,12,Degrading
0.19295366176691794,0.8047236308742709,0.0023227073588110965,13,Critical
9.975963417145025e-06,0.0033869714569098345,0.9966030525796731,14,Critical
0.0014370351581790548,0.13006633696959813,0.8684966278722228,15,Critical
4.005612757551173e-05,0.011911495116181427,0.9880484487562431,16,Critical
2.074634315947499e-08,4.3666949792633145e-05,0.9999563123038643,17,Critical
0.9928426237550946,0.007157376201144662,4.376076710217358e-11,0,Healthy
0.9837188389886827,0.016281160115335567,8.959816156413012e-10,1,Healthy
0.9960897623575862,0.003910237635176693,7.237152568234193e-12,2,Healthy
0.9960897623575862,0.003910237635176693,7.237152568234193e-12,3,Healthy
0.9912641023578075,0.008735897579137515,6.305502399160219e-11,4,Healthy
0.9928426237550946,0.007157376201144662,4.376076710217358e-11,5,Healthy
0.9829203591175885,0.017079639966573253,9.158381908661892e-10,6,Healthy
0.9559094844701198,0.04409050379279761,1.1737082540067004e-08,7,Healthy
