P(Engine_Core_Health=Healthy),P(Engine_Core_Health=Degrading),P(Engine_Core_Health=Critical),Engine_Core_Health
0.8881081109477031,0.11189151295958426,3.7609271264429457e-07,Healthy
0.9211665573067235,0.07883319188512737,2.508081490086072e-07,Healthy
0.9323332147833582,0.06766655064621414,2.3457042765778157e-07,Healthy
0.9326274234335526,0.06737240104835253,1.7551809482214979e-07,Healthy
0.9356481289769184,0.06435169558208019,1.7544100138972753e-07,Healthy
0.9375092634204366,0.06249056152420395,1.7505535935400769e-07,Healthy
0.9865049855787564,0.013495012600699406,1.8205440742848892e-09,Healthy
0.9763235487293516,0.023676447142571888,4.128076496937926e-09,Healthy
0.9632636856070746,0.0367362920847722,2.2308153123317412e-08,Healthy
0.9598703454038343,0.04012963186741846,2.272874725036028e-08,Healthy
0.9689397629225546,0.03106021664525177,2.043219353504535e-08,Healthy
0.9359851748394742,0.06401398711697004,8.380435557554987e-07,Healthy
0.903868898333324,0.09613009392146743,1.0077452085073679e-06,Healthy
0.9009193199707894,0.09907967218781939,1.0078413911093272e-06,Healthy
0.9449117791227336,0.05508804778467625,1.7309259020130362e-07,Healthy
0.8975410320515581,0.10245818144026904,7.865081728710428e-07,Healthy
0.8814013402278279,0.11859785829827724,8.014738949369669e-07,Healthy
0.8876667652632141,0.11233243590899024,7.988277955831493e-07,Healthy
0.9500662234382039,0.049933727260908056,4.930088813208514e-08,Healthy
0.9661564924199872,0.033843473097480155,3.44825325448744e-08,Healthy
0.9357017062975893,0.06429812823047605,1.6547193466981217e-07,Healthy
0.9481376993281887,0.05186216668168511,1.3399012622425505e-07,Healthy
0.8864971170160469,0.11350191742041933,9.655635336769107e-07,Healthy
0.9057790951815518,0.09422005333591799,8.51482530317323e-07,Healthy
0.8373364620795178,0.1626611147442246,2.423176257461933e-06,Healthy
0.8944237816728754,0.10557462517971906,1.5931474054720988e-06,Healthy
0.8940493575504188,0.10594905681804585,1.5856315353192163e-06,Healthy
0.9701333088934646,0.029866679664997314,1.1441538010695466e-08,Healthy
0.9727153746188112,0.027284614975449605,1.0405739186712844e-08,Healthy
0.9769773146687202,0.023022681298428715,4.032851039241007e-09,Healthy
0.9746912703297959,0.02530872539806357,4.272140528859857e-09,Healthy
0.96057219834145,0.03942778307681052,1.858173947723182e-08,Healthy
0.9192189822924228,0.08078074003429363,2.776732836438145e-07,Healthy
0.9153396133779562,0.08466010839010574,2.7823193807201115e-07,Healthy
0.8841662702635192,0.11583325915826832,4.7057821238013843e-07,Healthy
0.9331146080787986,0.06688518339526765,2.0852593370074688e-07,Healthy
0.9324550779114057,0.06754471291010687,2.091784874227132e-07,Healthy
0.9725544969548537,0.027445495463101034,7.582045211160401e-09,Healthy
0.9661400997925513,0.03385989069520594,9.512242709701665e-09,Healthy
0.9343500667384408,0.06564982617073428,1.0709082488217536e-07,Healthy
0.9339191380249611,0.06608075749166721,1.0448337171119898e-07,Healthy
0.9196420768540475,0.08035779864252468,1.2450342786646452e-07,Healthy
0.9541938350949879,0.04580613885791338,2.604709867139388e-08,Healthy
0.9165483729413739,0.08345144803027156,1.790283544889904e-07,Healthy
0.9213566020903459,0.0786432292805798,1.6862907429638008e-07,Healthy
0.9228886919452542,0.07711113979045725,1.6826428859559986e-07,Healthy
0.9539828354675018,0.04601713942300208,2.510949596228163e-08,Healthy
0.969866064651746,0.03013392178973148,1.3558522501085128e-08,Healthy
0.893012910615257,0.10698625613966377,8.332450791235674e-07,Healthy
0.8878859253329807,0.1121132331488391,8.415181802202164e-07,Healthy
0.8693882846715052,0.13061085473624232,8.605922525168782e-07,Healthy
0.9273532545783195,0.07264668209425361,6.332742686611733e-08,Healthy
0.9468717642983355,0.05312819340321184,4.229845264559538e-08,Healthy
